Subject,List,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
16,0,1758.4807256235829,3294.013605442177,4966.009070294785,6229.319727891157,7965.986394557823,9471.587301587302,10861.08843537415,12491.360544217689,13870.317460317461,18499.501133786845,23551.337868480725,,,,,,
16,1,1227.8684807256236,3133.764172335601,5155.170068027211,6973.015873015873,8867.64172335601,10400.430839002269,12419.297052154196,14503.537414965987,16136.326530612245,17954.98866213152,19764.149659863946,25521.927437641727,34366.34920634921,42875.05668934241,,,
16,2,1294.2403628117913,2870.0680272108843,4614.557823129251,6725.578231292518,8252.131519274377,10277.709750566893,11866.485260770976,13752.131519274377,15405.17006802721,25518.820861678007,29993.832199546487,34084.26303854876,,,,,
16,3,692.4716553287982,2337.3922902494332,4234.149659863946,5929.7732426303855,7812.879818594104,9494.85260770975,11082.630385487528,12742.78911564626,15344.920634920636,18864.96598639456,20684.53514739229,22328.73015873016,26673.151927437644,32792.56235827665,,,
16,4,823.968253968254,2733.8548752834467,4448.707482993197,6121.814058956917,8649.07029478458,10540.430839002267,13105.759637188208,14876.734693877552,21671.065759637186,23173.378684807256,28676.2358276644,32349.115646258502,45008.02721088436,46525.41950113379,48854.399092970525,,
16,5,1770.6802721088434,3432.6984126984125,10014.489795918367,11266.39455782313,18679.81859410431,23143.60544217687,24584.51247165533,26255.510204081635,35629.38775510204,54772.63038548753,,,,,,,
16,6,591.3378684807257,2121.882086167801,4233.424036281179,6312.97052154195,8631.972789115647,10904.240362811792,16143.786848072561,17826.281179138325,19740.861678004534,21611.428571428572,23507.777777777777,25403.015873015873,27401.224489795917,,,,
16,7,2435.419501133787,4203.1292517006805,6114.149659863946,8433.44671201814,10214.104308390024,12310.453514739229,14304.671201814059,16594.331065759638,18462.78911564626,20588.798185941043,22548.979591836734,24810.430839002267,26966.281179138325,29072.90249433107,37507.80045351474,,
17,0,772.5396825396825,2660.045351473923,4516.666666666667,6111.56462585034,7714.603174603175,9381.315192743765,11129.795918367348,16781.065759637186,21823.219954648524,31326.05442176871,47028.07256235828,,,,,,
17,1,1350.6575963718822,2894.716553287982,4722.403628117914,6120.022675736962,7584.444444444444,9086.757369614512,10534.08163265306,13198.117913832199,15035.192743764172,16530.272108843536,18654.081632653062,25662.380952380954,33712.01814058957,,,,
